primary,descriptor2,descriptor3,노트,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기,normalized_tags,계열,예시_향수,hex_palette_from_colors
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Floral,Sweet,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, jasmin",,,
Fruity,Floral,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, floral, apple",,,
Fruity,Mango,Passionfruit,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, mango, passionfruit",,,
Floral,Fresh,Ozonic,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fresh, ozonic",,,
Fruity,Raspberry,Cherry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, raspberry, cherry",,,
Floral,Anisic,Fruity,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, anisic, fruity",,,
Herbal,Anisic,Fruity,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, anisic, fruity",Green/Herbal,,
Fruity,Sweet,Balsamic,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, balsamic",,,
Green,Melon,Aldehydic,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, melon, aldehydic",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Spicy,Balsamic,Cinnamon,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, balsamic, cinnamon",,,
Spicy,Cinnamon,Warm,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, cinnamon, warm",,,
Floral,Cherry,Almond,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, cherry, almond",,,
Fruity,Creamy,Coconut,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, creamy, coconut",,,
Floral,Rose,Hyacinth,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, hyacinth",,,
Balsamic,Spicy,Fruity,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, spicy, fruity",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Fruity,Oily,Peach,Fruity,오렌지/레드 (+피치/살구),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, oily, peach",,,
Spicy,Fruity,Almond,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, fruity, almond",,,
Food Like,Nutty,Potato,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, nutty, potato",,,
Floral,Fresh,Ylang,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fresh, ylang",,,
Spicy,Floral,Honey,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, floral, honey",,,
Fruity,Floral,Rose,Fruity,오렌지/레드 (+로즈핑크),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, floral, rose",,,
Floral,Green,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, sweet",,,
Floral,Woody,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, violet",,,
Minty,Green,Fruity,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, green, fruity",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Floral,Green,Anisic,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, anisic",,,
Citrus,Sweet,Lemon,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, sweet, lemon",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Herbal,Chamomile,Fruity,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, chamomile, fruity",Green/Herbal,,
Minty,Fresh,Herbal,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, fresh, herbal",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Floral,Rose,Geranium,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, geranium",,,
Floral,Powdery,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, violet",,,
Floral,Powdery,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, violet",,,
Floral,Powdery,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, violet",,,
Floral,Powdery,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, violet",,,
Floral,Powdery,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, powdery, violet",,,
Floral,Chamomile,Fruity,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, chamomile, fruity",,,
Herbal,Floral,Pine,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, pine",Green/Herbal,,
Floral,Rose,Honey,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, honey",,,
Aldehydic,Citrus,Green,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, citrus, green",,,
Woody,Sandalwood,Pungent,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, pungent",,,
Powdery,Fruity,Raspberry,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, fruity, raspberry",,,
Fruity,Peach,Coconut,Fruity,오렌지/레드 (+피치/살구),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, peach, coconut",,,
Fruity,Apple,Pear,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apple, pear",,,
Fruity,Citrus,Green,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, citrus, green",,,
Fruity,Green,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, apple",,,
Fruity,Sweet,Raspberry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, raspberry",,,
Fruity,Kiwi,Citrus,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, kiwi, citrus",,,
Fruity,Sweet,Tropical-Fruit,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, tropical-fruit",,,
Smoky,Roasted,Balsamic,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, roasted, balsamic",,,
Fruity,Apricot,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apricot, pineapple",,,
Fruity,Sweet,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, pineapple",,,
Fruity,Rose,Citrus,Fruity,오렌지/레드 (+로즈핑크),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, rose, citrus",,,
Floral,Green,Rose,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, rose",,,
Floral,Rose,Fruity,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, fruity",,,
Floral,Rose,Geranium,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, geranium",,,
Floral,Fruity,Tropical-Fruit,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, tropical-fruit",,,
Fruity,Sweet,Floral,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, floral",,,
Musk like,Soft,Floral,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, soft, floral",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Green,Oily,Fruity,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, oily, fruity",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Sweet,Pear,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, pear",,,
Floral,Muguet,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, muguet, green",,,
Fruity,Tropical-Fruit,Caramel,Fruity,오렌지/레드 (+카라멜브라운),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, tropical-fruit, caramel",,,
Floral,Green,Rose,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, rose",,,
Fruity,Sweet,Tropical-Fruit,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, tropical-fruit",,,
Gourmand,Coffee,Nutty,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, coffee, nutty",,,
Floral,Rose,Citrus,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, citrus",,,
Floral,Rose,Citrus,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, citrus",,,
Citrus,Lemon,Herbal,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, herbal",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Floral,Rose,Geranium,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, geranium",,,
Floral,Rose,Citrus,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, citrus",,,
Citrus,Fresh,Lemon,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, lemon",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Fruity,Sweet,Banana,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, banana",,,
Fruity,Sweet,Tropical-Fruit,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, tropical-fruit",,,
Fruity,Sweet,Plum,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, plum",,,
Fruity,Fresh,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, fresh, pineapple",,,
Floral,Aldehydic,Sweet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, aldehydic, sweet",,,
Fruity,Green,Oily,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, oily",,,
Fruity,Sweet,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, pineapple",,,
Floral,Jasmin,Ylang,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, jasmin, ylang",,,
Fruity,Sweet,Floral,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, floral",,,
Herbal,Fruity,Mushroom,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fruity, mushroom",Green/Herbal,,
Fruity,Pineapple,Apricot,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, pineapple, apricot",,,
Aldehydic,Green,Fruity,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, green, fruity",,,
Fruity,Sweet,Berry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, berry",,,
Woody,Fresh,Earthy,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, earthy",,,
Woody,Fresh,Earthy,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, fresh, earthy",,,
Floral,Green,Rose,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, rose",,,
Floral,Muguet,Aldehydic,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, muguet, aldehydic",,,
Aldehydic,Fruity,Nutty,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, fruity, nutty",,,
Fruity,Sweet,Fermented,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, fermented",,,
Gourmand,Sweet,Milky,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, milky",,,
Woody,Sandalwood,Warm,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, warm",,,
Woody,Creamy,Sandalwood,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, creamy, sandalwood",,,
Woody,Creamy,Sandalwood,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, creamy, sandalwood",,,
Fruity,Coconut,Oily,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, coconut, oily",,,
Minty,Cooling,Sweet,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, cooling, sweet",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Woody,Smoky,Medicinal,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, smoky, medicinal",,,
Herbal,Pine,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, green",Green/Herbal,,
Woody,Sandalwood,Floral,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, floral",,,
Fruity,Sweet,Banana,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, banana",,,
Herbal,Sweet,Tobacco,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, sweet, tobacco",Green/Herbal,,
Smoky,Woody,Leathery,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, woody, leathery",,,
Balsamic,Hawthorn,Floral,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, hawthorn, floral",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Smoky,Phenolic,Animal Like,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, phenolic, animal like",,,
Food Like,Nutty,Leathery,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, nutty, leathery",,,
Food Like,Nutty,Roasted,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, nutty, roasted",,,
Fruity,Berry,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, berry, pineapple",,,
Food Like,Coffee,Smoky,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, coffee, smoky",,,
Food Like,Yeast,Fermented,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, yeast, fermented",,,
Fruity,Wine lees*,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, wine lees*, pineapple",,,
Aromatic,Minty,Floral,Aromatic,"vivid green, 그린/블루 (+민트)","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, minty, floral",Green/Herbal,,
Fruity,Green,Earthy,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, earthy",,,
Minty,Cooling,Fresh,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, cooling, fresh",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Food Like,Nutty,Earthy,Food Like,베이지,사계절,중성,주방/식감,오후,주방/브런치,일상/친근,"food like, nutty, earthy",,,
Fruity,Earthy,Fatty,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, earthy, fatty",,,
Fruity,Apple,Pear,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apple, pear",,,
Green,Melon,Herbal,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, melon, herbal",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Raspberry,Blueberry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, raspberry, blueberry",,,
Musk like,Sweet,Powdery,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, sweet, powdery",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Fruity,Buttery,Oily,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, buttery, oily",,,
Floral,Green,Fresh,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, fresh",,,
Fruity,Raspberry,Pear,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, raspberry, pear",,,
Fruity,Apple,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apple, pineapple",,,
Green,Floral,Verbena,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, verbena",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Banana,Pear,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, banana, pear",,,
Fruity,Sweet,Brandy,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, brandy",,,
Fruity,Green,Waxy,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, waxy",,,
Aldehydic,Orange,Citrus,Aldehydic,화이트 (+오렌지),사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, orange, citrus",,,
Fruity,Oily,Floral,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, oily, floral",,,
Herbal,Fruity,Pear,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fruity, pear",Green/Herbal,,
Fruity,Green,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, apple",,,
Gourmand,Fruity,cocoa,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, fruity, cocoa",,,
Floral,Sweet,Animal Like,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, animal like",,,
Herbal,Green,Lavender,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, green, lavender",Green/Herbal,,
Woody,Cedarwood,Amber,Woody,"브라운 (+시더브라운, 앰버골드)",가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, cedarwood, amber",,,
Woody,Sandalwood,Creamy,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, creamy",,,
Floral,Waxy,Jasmin,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, waxy, jasmin",,,
Green,Mushroom,Banana,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, mushroom, banana",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Green,Apple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, apple",,,
Aldehydic,Green,Fruity,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, green, fruity",,,
Aldehydic,Fresh,Green,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, fresh, green",,,
Green,Sweet,Fruity,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, sweet, fruity",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
